iter	Passed	Remaining
0	137	137293
1	138	69039
2	139	46262
3	139	34810
4	140	28007
5	141	23440
6	142	20178
7	142	17721
8	143	15808
9	144	14270
10	144	13033
11	145	12003
12	146	11133
13	147	10391
14	148	9730
15	148	9156
16	149	8649
17	150	8192
18	150	7793
19	151	7435
20	152	7116
21	153	6819
22	154	6545
23	155	6305
24	155	6074
25	156	5864
26	157	5669
27	158	5495
28	159	5325
29	159	5169
30	160	5026
31	162	4900
32	162	4771
33	163	4650
34	164	4534
35	165	4424
36	166	4322
37	166	4226
38	167	4134
39	168	4046
40	169	3965
41	170	3890
42	171	3815
43	172	3740
44	172	3671
45	173	3602
46	174	3538
47	175	3474
48	176	3415
49	176	3359
50	177	3303
51	178	3248
52	178	3195
53	179	3150
54	180	3101
55	181	3053
56	181	3010
57	182	2968
58	183	2926
59	184	2885
60	184	2845
61	185	2806
62	186	2771
63	186	2734
64	187	2701
65	188	2667
66	189	2635
67	189	2599
68	190	2570
69	191	2539
70	191	2509
71	192	2480
72	193	2453
73	193	2427
74	194	2401
75	195	2375
76	196	2349
77	196	2324
78	197	2300
79	198	2277
80	198	2253
81	199	2232
82	200	2212
83	200	2190
84	201	2167
85	202	2148
86	202	2125
87	203	2105
88	203	2085
89	204	2065
90	205	2047
91	205	2030
92	206	2013
93	207	1995
94	207	1978
95	208	1962
96	209	1946
97	209	1929
98	210	1912
99	210	1896
100	211	1881
101	211	1864
102	212	1849
103	213	1835
104	213	1822
105	214	1807
106	214	1793
107	215	1779
108	216	1766
109	216	1753
110	217	1740
111	218	1728
112	218	1717
113	219	1704
114	219	1692
115	220	1680
116	221	1668
117	221	1656
118	221	1643
119	222	1632
120	223	1620
121	223	1610
122	224	1598
123	224	1588
124	225	1578
125	226	1567
126	226	1557
127	227	1546
128	227	1536
129	228	1526
130	228	1517
131	229	1508
132	229	1498
133	230	1491
134	231	1483
135	232	1474
136	232	1465
137	233	1456
138	233	1447
139	234	1438
140	234	1429
141	235	1420
142	235	1412
143	236	1404
144	236	1397
145	237	1389
146	238	1382
147	238	1375
148	239	1367
149	240	1360
150	240	1352
151	241	1345
152	241	1337
153	242	1330
154	242	1324
155	243	1317
156	244	1310
157	244	1304
158	245	1297
159	245	1290
160	246	1284
161	246	1277
162	247	1270
163	247	1263
164	248	1257
165	249	1251
166	249	1245
167	250	1239
168	251	1234
169	251	1228
170	252	1222
171	252	1216
172	253	1210
173	253	1204
174	254	1198
175	254	1193
176	255	1187
177	256	1182
178	256	1177
179	257	1171
180	257	1165
181	258	1159
182	258	1154
183	259	1149
184	259	1143
185	260	1138
186	260	1133
187	261	1128
188	261	1124
189	262	1120
190	263	1115
191	263	1110
192	264	1106
193	265	1101
194	265	1096
195	266	1091
196	266	1086
197	267	1082
198	267	1078
199	268	1074
200	269	1069
201	269	1065
202	270	1061
203	270	1057
204	271	1053
205	272	1049
206	272	1045
207	273	1041
208	274	1037
209	274	1034
210	275	1030
211	276	1026
212	276	1023
213	277	1019
214	278	1015
215	278	1011
216	279	1007
217	279	1004
218	280	1000
219	281	997
220	281	993
221	282	990
222	283	986
223	283	982
224	284	978
225	284	974
226	285	970
227	285	967
228	286	963
229	286	960
230	287	957
231	288	953
232	288	950
233	289	946
234	289	943
235	290	939
236	290	935
237	291	932
238	291	928
239	292	925
240	292	922
241	293	919
242	294	916
243	294	912
244	295	909
245	295	906
246	296	903
247	296	899
248	297	896
249	297	893
250	298	889
251	298	886
252	299	883
253	300	881
254	300	878
255	301	875
256	301	872
257	302	869
258	302	866
259	303	863
260	303	860
261	304	857
262	304	854
263	305	851
264	306	848
265	306	846
266	307	843
267	307	840
268	308	838
269	308	835
270	309	832
271	309	829
272	310	826
273	311	824
274	311	821
275	312	819
276	312	816
277	313	814
278	314	811
279	314	809
280	315	806
281	315	803
282	316	801
283	316	798
284	317	796
285	318	793
286	318	791
287	319	789
288	320	787
289	320	785
290	321	783
291	322	780
292	322	778
293	323	775
294	323	773
295	324	771
296	324	768
297	325	766
298	325	764
299	326	761
300	327	759
301	327	757
302	328	755
303	328	753
304	329	750
305	329	748
306	330	746
307	331	744
308	331	741
309	332	739
310	332	737
311	333	735
312	333	732
313	334	730
314	334	728
315	335	726
316	335	723
317	336	721
318	337	719
319	337	717
320	338	715
321	339	713
322	339	711
323	340	709
324	340	707
325	341	705
326	341	703
327	342	701
328	343	699
329	343	698
330	344	696
331	345	694
332	345	692
333	346	690
334	346	688
335	347	686
336	347	683
337	348	681
338	348	680
339	349	678
340	350	677
341	351	675
342	351	673
343	352	671
344	352	669
345	353	667
346	353	665
347	354	663
348	355	662
349	355	660
350	356	658
351	356	656
352	357	655
353	357	653
354	358	651
355	359	649
356	359	647
357	360	645
358	360	644
359	361	642
360	361	640
361	362	639
362	363	637
363	363	635
364	364	634
365	364	632
366	365	630
367	365	628
368	366	626
369	366	624
370	367	623
371	368	621
372	368	620
373	369	618
374	370	617
375	370	615
376	371	613
377	372	612
378	372	610
379	373	608
380	373	607
381	374	605
382	375	604
383	375	602
384	376	601
385	377	599
386	377	598
387	378	596
388	378	594
389	379	593
390	379	591
391	380	589
392	380	588
393	381	586
394	382	585
395	382	583
396	383	581
397	383	580
398	384	578
399	384	577
400	385	575
401	385	574
402	386	572
403	387	571
404	387	569
405	388	568
406	388	566
407	389	564
408	389	563
409	390	561
410	391	560
411	391	559
412	392	557
413	392	556
414	393	554
415	394	553
416	394	551
417	395	550
418	395	548
419	396	547
420	396	545
421	397	544
422	397	542
423	398	541
424	399	540
425	399	538
426	400	537
427	401	536
428	401	534
429	402	533
430	402	531
431	403	530
432	403	528
433	404	527
434	405	526
435	405	524
436	406	523
437	407	522
438	407	520
439	408	519
440	408	518
441	409	516
442	409	515
443	410	514
444	411	512
445	411	511
446	412	510
447	413	508
448	413	507
449	414	506
450	414	504
451	415	503
452	415	502
453	416	500
454	416	499
455	417	497
456	418	496
457	418	495
458	419	494
459	419	492
460	420	491
461	420	490
462	421	488
463	421	487
464	422	486
465	422	484
466	423	483
467	424	482
468	424	480
469	425	479
470	426	478
471	426	477
472	427	475
473	427	474
474	428	473
475	428	471
476	429	470
477	429	469
478	430	468
479	430	466
480	431	465
481	432	464
482	432	463
483	433	462
484	434	460
485	434	459
486	435	458
487	436	457
488	436	456
489	437	455
490	438	454
491	438	453
492	439	451
493	439	450
494	440	449
495	440	448
496	441	446
497	442	445
498	442	444
499	443	443
500	444	442
501	444	441
502	445	439
503	445	438
504	446	437
505	446	436
506	447	435
507	448	434
508	448	432
509	449	431
510	449	430
511	450	429
512	451	428
513	451	427
514	452	425
515	452	424
516	453	423
517	454	422
518	454	421
519	455	420
520	455	419
521	456	418
522	457	417
523	457	415
524	458	414
525	459	413
526	459	412
527	460	411
528	461	410
529	461	409
530	462	408
531	463	407
532	463	406
533	464	405
534	465	404
535	465	403
536	466	402
537	466	400
538	467	399
539	468	398
540	469	397
541	469	397
542	470	396
543	471	395
544	472	394
545	472	393
546	473	391
547	473	390
548	474	389
549	475	388
550	475	387
551	476	386
552	476	385
553	477	384
554	477	383
555	478	381
556	478	380
557	479	379
558	479	378
559	480	377
560	480	376
561	481	375
562	482	374
563	482	373
564	483	372
565	483	371
566	484	369
567	484	368
568	485	367
569	485	366
570	486	365
571	487	364
572	487	363
573	488	362
574	488	361
575	489	360
576	489	359
577	490	357
578	490	356
579	491	355
580	491	354
581	492	353
582	492	352
583	493	351
584	494	350
585	494	349
586	495	348
587	495	347
588	496	346
589	497	345
590	497	344
591	498	343
592	498	342
593	499	341
594	499	340
595	500	339
596	501	338
597	502	337
598	502	336
599	503	335
600	503	334
601	504	333
602	505	332
603	505	331
604	506	330
605	506	329
606	507	328
607	508	327
608	508	326
609	509	325
610	510	324
611	510	323
612	511	322
613	512	321
614	512	320
615	513	319
